Gyakorlat neve;Érintett izomcsoportok;Szükséges eszközök;Nehézségi szint;Leírás
Guggolás;Fenék, quadriceps, hamstringek;Nincs (saját testsúly);Kezdő;Alap gyakorlat, amely erősíti a feneket és a combokat, javítja a mobilitást.
Híd;Fenék, alsó hátsó izomcsoportok;Nincs (saját testsúly);Kezdő;Fekvő helyzetből a csípő emelése, a fenék és a hátsó izmok aktiválásával.
Bolgár guggolás;Fenék, quadriceps, hamstringek;Kézi súlyzók (opcionális);Középhaladó;Egy lábbal végzett guggolás, amely erősebben dolgoztatja meg a fenéket.
Láblendítés négykézláb;Fenék, csípőhajlítók;Nincs (saját testsúly);Kezdő;Kéz- és térdtámaszból végzett gyakorlat, amely a fenék izmait erősíti.
Kettlebell swing;Fenék, csípő, hamstringek;Kettlebell;Középhaladó;Dinamikus mozdulat, amely a fenékre és a hát alsó részére is hat.
Step-up;Fenék, quadriceps, hamstringek;Lépcső vagy magas pad;Kezdő;Felfelé lépés egy padra, amely erősíti a feneket és a lábakat.
Sumo guggolás;Fenék, quadriceps, belső combok;Nincs (saját testsúly) vagy súlyzó;Középhaladó;Széles terpeszben végzett guggolás, amely különösen a fenék és a comb belső részét dolgoztatja meg.
Fenékemelés súllyal;Fenék, csípőhajlítók;Valamilyen súly;Középhaladó;Fekve helyzetben a csípő emelése valamilyen súllyal a csípőn.
Török felállás;Fenék, combizmok, stabilizáló izmok;Nincs (saját testsúly);Haladó;A földről való felállás, amely erősíti a feneket és a stabilizáló izmokat.
Hiperhajlítás;Fenék, alsó hát, hamstringek;Hiperhajlítás pad;Kezdő;Fekvő helyzetben végzett mozgás, amely a feneket és az alsó hátat dolgoztatja meg.
