Gyakorlat neve;Érintett izomcsoportok;Szükséges eszközök;Nehézségi szint;Leírás
Húzódzkodás;Széles hátizom, bicepsz;Húzódzkodó rúd;Haladó;A legjobb gyakorlat a széles hátizom erősítésére, húzódzkodó rúdon végzett mozgás.
Evezés rúddal;Hátsó delta, trapéz, latissimus;Rúd;Középhaladó;A hátrahúzódó evezés segíti a hát izmainak erősítését, különösen a hátsó deltát.
Deadlift (Felhúzás);Alsó hát, hamstring, gluteus;Rúd;Haladó;A legfontosabb alapgyakorlat a hát alsó részének erősítésére, amely a teljes testet igénybe veszi.
T-rudas evezés;Középső hát, trapéz, rombusz;T-rúd;Haladó;A T-rudas evezés segít a középső hát izmainak erősítésében, stabilitást adva a törzsnek.
Fekvőtámaszos hátgép;Latissimus, trapéz, rombusz;Hátgép (fekvőtámaszos gép);Középhaladó;Hátizmok erősítése a gépen történő fekvőtámaszos mozgással.
Hiperhajlítás;Alsó hát;Hiperhajlító pad;Középhaladó;A hát alsó részének erősítése a törzs hátradöntésével.
Fekvőtámasz kézi súlyzóval;Hátsó delta, bicepsz, triceps;Kézi súlyzó;Középhaladó;A fekvőtámasz dinamikus végrehajtása súlyzóval segít a vállak és a hát erősítésében.
Kábeles evezés;Széles hátizom, rombusz, bicepsz;Köteles csigás gép;Középhaladó;A kábeles evezés segít a hát széles izmainak erősítésében.
Húzópad;Széles hátizom;Húzódzkodó gép;Kezdő;A húzópad gép segít a széles hátizom erősítésében.
Arnold evezés;Hátsó delta, trapéz, rombusz;Kettlebell vagy kézi súlyzó;Középhaladó;Az Arnold evezés a hát, váll és kar együttes erősítésére szolgál.
Kábeles lehúzás;Széles hátizom;Köteles csigás gép;Középhaladó;A kábeles lehúzás segít a hát széles izmainak erősítésében.
