Gyakorlat neve;Érintett izomcsoportok;Szükséges eszközök;Nehézségi szint;Leírás
Futás;Lábak;Futópad vagy kültéri helyszín;Kezdő;Alap kardió gyakorlat, amely az állóképességet és az erőnlétet javítja.
Ugrókötelezés;Lábak, karok;Ugrókötél;Kezdő;Kiváló kardió gyakorlat a koordináció javítására és a teljes test edzésére.
Burpee;Lábak, törzs, karok;Nincs (saját testsúly);Középhaladó;A klasszikus 4 ütemű fekvőtámasz, amely a teljes testet erősíti.
Mountain climber;Lábak, karok, törzs;Nincs (saját testsúly);Kezdő;Gyors mozgás, amely erősíti a testet és javítja az állóképességet.
Kettlebell swing;Lábak, csípő, törzs;Kettlebell;Középhaladó;A csípő és a törzs erősítésére szolgál.
HIIT (High-Intensity Interval Training);Teljes test;Nincs (saját testsúly vagy eszközök);Haladó;Intenzív intervallum edzés, amely az állóképességet és az erőt is fejleszti.
Sprintek;Lábak;Nincs (szabad tér);Haladó;Rövid, intenzív futások, amelyek gyorsan fejlesztik az erőnlétet és az állóképességet.
Boxolás (árnyékolás);Kéz, karok, vállak, törzs;Boxkesztyű (opcionális);Középhaladó;Dinamikus gyakorlat, amely a karokat, vállakat és a szív- és érrendszert is fejleszti.
Elliptikus tréner;Lábak, karok;Elliptikus gép;Kezdő;Alacsony hatású kardió, amely egyszerre dolgoztatja meg a karokat és a lábakat.
Biciklizés;Lábak, csípő;Szobabicikli vagy kültéri bicikli;Kezdő;Kiváló kardió gyakorlat, amely erősíti a lábakat, és fejleszti az állóképességet.
Evezés;Lábak, karok, törzs;Evezőgép;Középhaladó;Teljes testet megdolgoztató gyakorlat, amely javítja az erőnlétet és állóképességet.
