Gyakorlat neve;Érintett izomcsoportok;Szükséges eszközök;Nehézségi szint;Leírás
Plank;Törzsizmok, hasizom;Nincs (saját testsúly);Kezdő;Statikus tartás, amely erősíti a hasizmokat és javítja a törzs stabilitását.
Oldalsó plank;Ferde hasizmok, törzs;Nincs (saját testsúly);Középhaladó;Oldalsó támasz egy alkaron, amely a törzs stabilizálását segíti.
Lábemelés fekve;Alsó hasizmok;Nincs (saját testsúly);Kezdő;Hanyatt fekve a lábak emelése és süllyesztése.
Lábemelés függeszkedve;Alsó hasizmok, csípőhajlítók;Húzódzkodó rúd;Haladó;Függeszkedés közben a lábak emelése a törzs felé.
Hasprés;Felső hasizmok;Nincs (saját testsúly);Kezdő;Hanyatt fekve a felsőtest emelése a hasizom megfeszítésével.
Biciklis hasprés;Egyenes és ferde hasizmok;Nincs (saját testsúly);Középhaladó;Váltott térd-könyök érintés fekvő helyzetben.
Görgős haskerék;Törzsizmok, hasizmok;Hasgörgő (ab wheel);Haladó;Térdelő helyzetből előregurulás.
Függőleges térdfelhúzás;Alsó hasizmok, csípőhajlítók;Tolódzkodó állvány;Haladó;Támasztott helyzetben a térdek emelése.
Orosz twist;Ferde hasizmok;Medicinlabda vagy kézi súlyzó;Középhaladó;Ülő helyzetben törzsfordítás jobbra és balra súllyal vagy anélkül.
Felülés;Egyenes hasizom;Nincs (saját testsúly);Kezdő;Hanyatt fekve a törzs teljes felülése.
Lábkörzés;Alsó hasizmok, csípőhajlítók;Nincs (saját testsúly);Középhaladó;Hanyatt fekve a lábak körkörös mozgatása.
Hasprés köteles csigán;Egyenes hasizom;Köteles csigás gép;Középhaladó;A kötél lehúzása térdelő helyzetben.
Guggolásból térdfelhúzás;Hasizom, lábak;Nincs (saját testsúly);Középhaladó;Guggolásból egyenesedés közben a térd emelése a törzs felé.
Fekvőtámasz térdhúzással;Törzsizmok, hasizmok, vállak;Nincs (saját testsúly);Középhaladó;Fekvőtámasz pozícióban a térdek dinamikus húzása a mellkas felé.
Lábemelés medicinlabdával;Alsó hasizmok;Medicinlabda;Haladó;Hanyatt fekve, a lábak felemelése és lassú süllyesztése egy medicinlabdával.
