Gyakorlat neve;Érintett izomcsoportok;Szükséges eszközök;Nehézségi szint;Leírás
Guggolás;Combok, fenék, törzs;Nincs (saját testsúly);Kezdő;A legnépszerűbb lábgyakorlat, amely a combizmokat, feneket és törzset erősíti.
Kitörés;Combok, fenék;Nincs (saját testsúly);Kezdő;Egyik lábbal törtenő előre lépés, majd vissza, mely a comb és fenék izmokat célozza.
Lábtoló gép;Combok, fenék, vádli;Lábtoló gép;Középhaladó;A láb kinyújtása és visszahúzása a lábtoló gépen, erősíti a combizmokat és a feneket.
Mély guggolás;Combok, fenék;Nincs (saját testsúly);Középhaladó;A guggolás mélyebb kivitelezése, amely fokozza a comb és fenék izmainak aktiválását.
Bolgár guggolás;Combok, fenék;Párhuzamos rudak vagy pad;Haladó;Egy lábbal a padra helyezett lábbal végzett guggolás, amely erősíti a comb és fenék izmait.
Egylábas guggolás;Combok, fenék;Nincs (saját testsúly);Haladó;Egy láb használata a guggolásnál, amely fokozza az izomerő és a stabilitás fejlesztését.
Lábprés;Combok, fenék, vádli;Lábgép;Középhaladó;A lábprés függőleges gépen, amely erőteljesen dolgoztatja a combokat és a feneket.
Súlyzós kitörés;Combok, fenék, vádli;Kézi súlyzó;Középhaladó;A kitörés súlyzóval végzett változata, amely növeli a gyakorlat intenzitását és hatékonyságát.
Combfeszítő gép;Combfeszítők;Combfeszítő gép;Kezdő;A combfeszítők gépes edzése, amely elsősorban a comb elülső részét célozza.
Combhajlító gép;Combhajlítók;Combhajlító gép;Kezdő;A combhajlítók gépes edzése, amely a comb hátsó izomcsoportját dolgoztatja meg.
